,1st-comp,2nd-comp,3rd-comp,label
0,0.8236113,9.237018,1.613619,6
1,12.063102,-1.0568643,12.046203,7
2,-6.406441,-4.274831,24.955502,6
3,-9.372096,-2.7216465,-11.98647,3
4,-3.3150291,-23.504873,-9.362423,2
5,-1.0715303,-25.063965,-9.868403,2
6,15.324692,16.302668,-8.279241,2
7,-0.281678,19.06885,14.488094,2
8,16.347345,-4.0919704,10.368637,2
9,-3.1187117,12.970843,-3.2664146,5
10,5.9271398,13.556381,12.078222,1
11,-5.631351,-3.0324793,21.862328,3
12,3.7910986,-9.23364,-6.505174,1
13,7.338305,-12.751174,0.092728086,7
14,-3.2843335,22.410116,-10.040711,2
15,-13.254478,10.102503,-15.067536,5
16,8.553425,1.8832855,10.586914,7
17,10.991774,2.0902689,15.696392,7
18,-4.3468795,-5.523707,-20.787943,4
19,15.485707,0.10926097,11.134416,3
20,-0.45733127,8.5655155,5.4953294,3
21,-2.1753857,4.2591405,20.535524,4
22,-7.0539184,11.229755,-4.1654754,5
23,-13.899728,-21.503672,-9.431299,4
24,-19.382858,-5.934471,8.20516,3
25,-8.004259,16.09391,12.664989,5
26,-2.3804653,19.543083,-12.214643,4
27,10.789906,4.273673,10.5366535,7
28,-24.754824,11.02968,3.3387213,4
29,-6.2439218,-29.280607,-0.5672038,4
30,-5.2298145,-1.358877,25.315556,6
31,-6.1513457,-14.16964,-2.4936438,7
32,25.20779,-5.064205,-0.6207737,1
33,-10.626279,13.042285,10.985261,6
34,-12.6702,8.538695,-17.660646,5
35,-4.5008335,-5.034156,-20.609015,4
36,10.975021,-4.2478147,17.587933,6
37,12.767489,17.03762,-9.580322,1
38,-1.5544288,20.988699,-13.36498,4
39,2.1818268,0.30261576,-12.4411125,3
40,0.53570914,-0.49280113,12.945076,7
41,-6.772608,-14.1996565,3.6656487,1
42,-5.4768066,0.2994773,3.6640186,7
43,3.1370783,-19.246086,-2.052827,1
44,-17.252203,-12.726628,-9.994509,5
45,-7.272581,5.7522235,-5.669112,5
46,-15.611043,17.574438,-3.6408854,4
47,2.835324,-20.866644,12.430776,2
48,14.440889,8.975254,-2.423038,7
49,8.791166,1.4983307,7.556764,7
50,-9.276527,1.3866017,-17.378374,3
51,0.90238816,-2.1126678,3.2748616,7
52,-2.7224221,5.4904685,-8.897649,5
53,-0.7172297,15.839245,11.620516,2
54,-6.6825547,6.475302,21.016436,3
55,-4.199052,0.5574778,21.181904,5
56,-15.732054,-10.880525,5.966575,4
57,4.2457776,-8.634722,2.4035685,1
58,-3.286999,-21.781006,-6.015806,1
59,-5.517635,-7.283027,-19.969357,4
60,-4.153178,3.4404526,-0.3464886,5
61,-1.7795981,1.9270506,4.2968144,1
62,13.800918,-4.9317575,-15.815392,5
63,11.399512,9.270382,4.4243565,7
64,4.2655272,-6.0881143,-2.8804405,3
65,10.825838,1.876453,15.674592,7
66,-5.157287,-24.841625,-7.429281,6
67,-17.56697,-15.20698,-7.8558035,5
68,-14.401594,-15.479895,-13.830091,4
69,-7.2198887,5.9861383,-7.429583,5
70,22.161648,-1.8153691,-9.324436,5
71,17.78182,1.7699486,-8.925137,6
72,3.2710643,15.988683,2.858642,7
73,-5.475103,22.148703,-12.833975,4
74,6.6305027,11.381685,11.365549,7
75,-2.884399,-18.485512,4.179595,1
76,6.0242095,10.226813,3.253545,3
77,22.064592,1.1275315,-14.420057,5
78,-9.862699,-1.1010056,16.681467,6
79,-11.065862,-17.914654,-8.412548,4
80,-1.692465,-20.46784,-4.731656,7
81,-7.0789747,-4.014302,23.991138,5
82,8.786096,12.2349825,4.8475685,1
83,-9.522853,1.2444143,-17.379171,3
84,2.9943743,13.862406,0.1494928,3
85,-19.018175,-5.955348,6.3824677,4
86,-7.7282915,-4.133708,-7.4460616,3
87,-6.018153,2.2780828,17.618517,5
88,11.138549,2.547766,2.811489,7
89,-19.862932,-2.7288957,-13.789565,5
90,-5.8530774,-15.823277,-1.3970766,7
91,-8.566025,-4.58779,-13.5737915,4
92,-18.0174,-7.4216113,-8.340977,4
93,-11.959906,2.7870026,18.02528,6
94,-3.5562923,-27.235334,-5.0883255,3
95,24.160994,0.4481001,-13.904089,6
96,16.853079,0.93026954,9.825709,3
97,-3.0448794,0.17348945,11.428109,7
98,7.2661195,-5.3659353,-7.483241,7
99,13.716633,-4.41999,-16.44392,7
100,1.9820881,9.444009,8.520399,1
101,-5.290204,-15.860361,-4.3007846,7
102,-6.085346,9.939908,-18.793823,5
103,1.1230015,-9.202946,-5.765564,1
104,-11.527065,3.878588,-13.056189,3
105,5.8865952,14.199263,2.0997205,7
106,-4.700842,1.9685485,5.1513305,7
107,8.047371,11.39467,11.347475,7
108,14.83811,-2.2217224,12.763619,3
109,10.08085,9.445697,-3.9461794,2
110,-1.6655408,-0.2624953,16.198484,3
111,-1.0528268,0.33640474,-7.2113614,3
112,5.507719,9.829296,7.92416,2
113,-4.4795003,-4.391506,-16.366865,4
114,14.30591,7.340562,5.5392423,1
115,6.7658653,-4.6466002,-1.1694275,1
116,9.21517,-9.90832,-8.950265,1
117,-1.297831,7.887739,4.8912935,3
118,2.1702464,4.9395256,15.288414,2
119,-0.3673042,8.088762,5.81634,1
120,-12.438075,-21.460459,-7.8811,4
121,-22.65793,12.990089,4.530113,5
122,18.248884,0.139273,3.997473,1
123,-14.443657,9.956097,-13.151504,5
124,-8.2045355,-1.3748517,-1.1555808,7
125,22.422604,-4.2511873,-17.373356,6
126,2.342348,3.589151,19.414652,3
127,-20.33847,1.0144368,-13.982651,4
128,-3.1615903,-2.21535,14.201216,6
129,-5.845131,-7.4278255,-19.556505,4
130,-5.0991135,-8.12349,-17.9807,4
131,-3.6954036,14.77856,-10.364789,5
132,-1.2988176,-14.300933,8.532418,1
133,-10.249361,3.3772974,15.549491,6
134,-5.406839,15.53556,13.74219,6
135,7.0595856,21.301804,-5.255039,2
136,-8.425507,9.840678,13.080785,5
137,9.207539,-16.128553,11.343185,6
138,16.37947,5.4998026,-14.07154,3
139,-13.444923,-9.818988,-2.956586,3
140,-2.402108,19.612417,2.0800424,1
141,2.0487063,-2.3269253,-12.00844,5
142,5.783114,11.363464,-0.9009654,7
143,4.5359135,-5.1883454,-10.025455,4
144,-19.152689,-8.3530445,-8.591017,4
145,-12.477591,-20.684324,-10.647616,4
146,5.1895494,15.775494,11.751768,2
147,-19.909044,-5.829437,-0.1909504,5
148,-3.392428,21.006203,5.470794,1
149,-12.84509,14.992797,-8.335874,4
150,5.2130394,-14.08416,12.062903,5
151,8.78914,-21.13451,12.50015,6
152,-12.319858,2.3238254,0.87196606,4
153,-4.6236835,-1.6318364,20.560877,6
154,-9.010477,-3.1252205,-12.121867,4
155,1.2463543,-3.6520061,3.5020866,1
156,-19.84487,-5.885602,2.3940043,5
157,-16.272781,6.7824893,-6.927772,4
158,-3.5945837,-0.99196917,-20.01725,5
159,-8.242048,2.7744865,-10.433371,5
160,-0.8690743,0.29360437,-20.053667,3
161,19.1667,4.6457486,-15.430063,3
162,-5.670454,13.179033,8.027966,6
163,23.528158,-4.5705924,-15.014498,6
164,0.676251,1.2160618,27.31512,6
165,-6.626378,8.768725,5.0995293,1
166,1.7342963,9.58956,5.2893405,3
167,-3.0220404,2.408179,18.7596,3
168,8.12827,12.851476,0.15116839,7
169,-10.098767,-15.743545,-12.05158,4
170,-2.3002646,20.95461,-9.097575,6
171,20.475698,-1.0704857,-12.813093,3
172,5.848449,-5.05561,-8.628694,6
173,6.863823,13.211372,2.7173536,7
174,9.910868,16.387442,-8.965484,2
175,11.360077,16.577267,2.4312606,3
176,0.561236,14.328734,-15.21181,6
177,-7.21579,3.640967,21.633818,6
178,8.913071,-13.801786,-2.443074,7
179,9.220486,11.658267,1.014388,7
180,9.394803,-8.043408,-2.5927742,7
181,10.575622,-1.4904503,7.626519,1
182,16.79826,2.0251625,10.700419,1
183,-2.021727,-1.997362,11.600573,2
184,0.21334118,-21.184595,-2.8330781,4
185,-19.205666,0.29128623,-12.722753,4
186,9.232602,0.31049934,5.071625,2
187,16.571705,-3.7229395,-11.842827,6
188,1.2758647,14.182507,-9.305717,2
189,2.7478848,-4.9313602,1.2111528,7
190,11.258023,15.85035,5.4005504,1
191,13.062716,11.8228855,6.67378,1
192,9.117394,-7.689251,-6.313417,7
193,23.476109,-1.4002794,-13.018948,6
194,2.9371512,16.214987,10.415103,2
195,-6.4347486,-1.6517237,16.688713,6
196,2.064706,-13.708487,11.023637,5
197,-6.333892,19.287926,-11.456781,6
198,-10.917582,-2.9901896,-15.080826,5
199,0.23727258,0.64980596,-8.948689,4
200,-1.0883985,-27.492756,1.8677865,1
201,-4.2285395,18.502811,-10.651104,4
202,14.689431,-8.430622,7.2512364,1
203,5.932916,18.881699,-1.8273752,6
204,10.818929,5.2184234,0.7318585,5
205,6.4829226,-8.100304,3.0851102,7
206,5.756946,8.306501,8.789386,1
207,-5.3763433,20.715738,-12.958503,4
208,-1.6615602,19.367626,3.635184,1
209,-6.0557146,-3.3648403,20.67426,3
210,-17.334185,0.44819093,-14.520169,4
211,-12.908504,-21.659922,-9.873989,4
212,5.5079947,-3.3720274,-22.312166,4
213,8.798838,-4.767896,14.334478,2
214,3.16146,-9.215006,0.46624154,7
215,-16.305538,1.0518298,-13.176127,3
216,9.178836,-7.87448,-6.4011693,7
217,-7.3309774,-6.2309093,-16.190071,4
218,-16.212431,1.3043845,1.3202994,4
219,10.619223,7.8384237,14.236643,2
220,8.675618,5.3924656,-4.003483,2
221,-1.7679116,6.2963867,8.405069,7
222,-8.267239,2.7660887,2.0350194,6
223,4.7105103,-3.4632668,-24.809008,4
224,-7.4235954,7.906404,14.363379,6
225,-2.3780575,-5.458706,23.38572,3
226,-10.86122,-19.686987,-9.954245,7
227,16.878082,-7.0763407,11.187785,2
228,3.0995092,-3.9524136,-24.036734,4
229,22.300964,1.004581,-12.545463,5
230,-7.462897,-13.936398,-0.7103878,2
231,10.876933,4.5164986,-3.1616683,1
232,-17.845568,13.007841,-3.2713144,5
233,17.22785,-7.1757674,11.848452,2
234,5.822905,16.14659,7.716909,1
235,-2.4678354,3.4890594,21.064453,7
236,-0.41573527,16.202597,-0.026354033,1
237,5.8587446,17.502243,-3.3327825,6
238,-14.495027,0.2433128,2.2631128,6
239,8.488089,5.9151793,6.411773,7
240,-7.9280434,-16.97759,0.5780817,7
241,10.306511,-2.795079,2.3853977,1
242,3.357188,13.210097,3.1448078,1
243,-16.304615,-21.303757,-5.6083465,5
244,14.455645,2.5585992,-2.428407,7
245,1.3989028,-3.4632933,3.447156,1
246,-13.564185,3.9167027,-6.6395965,6
247,8.154113,-10.93676,-4.6621776,1
248,-1.72672,-22.37387,-0.8406762,1
249,-5.9709687,11.7085285,16.486193,6
250,13.555868,9.442104,3.2140357,7
251,1.4587562,11.984448,6.566525,1
252,0.03675255,-11.909209,-2.3121371,7
253,-20.35381,-8.082816,6.4085236,4
254,-11.06444,-2.0710657,-9.677738,2
255,-5.8425407,-21.975416,-9.107634,5
256,8.476792,-0.41852254,-23.442265,3
257,7.973237,9.700704,4.934559,1
258,-1.9460094,16.017426,16.048897,5
259,-1.5797341,9.208079,20.614542,5
260,-2.1765904,-26.282055,-8.643392,5
261,12.823343,3.4903345,-2.5802562,7
262,18.28719,-2.021414,-11.892505,6
263,-10.278342,-15.044193,-10.434447,3
264,0.8024474,6.531001,11.951052,7
265,8.334719,11.519507,-2.5851307,7
266,-6.5857334,-30.816624,-3.826318,6
267,11.603742,-3.9428005,-3.100612,3
268,-2.757961,-19.263214,11.524347,6
269,7.1549306,13.941548,14.904146,2
270,-18.805092,-8.775905,5.3872805,4
271,17.328512,-0.18140367,7.923584,6
272,5.8290467,-1.847213,-0.617863,1
273,-9.496583,3.6254418,-7.649655,5
274,-3.1201847,-14.266337,16.38842,2
275,14.561138,5.855938,3.9064934,1
276,-0.46318734,-21.389946,10.595937,3
277,19.54538,-0.16163452,-7.0571265,1
278,-7.101559,0.25041172,8.087577,7
279,-11.118435,9.031308,-13.363749,5
280,-7.4563327,5.471857,-5.0329485,6
281,-21.318043,11.479963,1.1664608,4
282,-4.3964624,2.5768995,19.806187,3
283,1.4888732,5.362372,-2.0705283,7
284,19.122902,-8.576432,-1.2268664,2
285,5.3268204,-1.8967887,9.833007,7
286,20.061699,4.5195885,-11.326291,3
287,-24.922607,7.7978034,3.308811,5
288,-2.208336,-24.59704,-7.1562386,6
289,-15.502349,-10.226524,6.996774,4
290,-18.488832,-2.7865217,-13.931372,5
291,-9.475529,18.10459,-13.241806,6
292,15.700452,1.0461211,13.275606,1
293,-1.7004908,9.640806,11.633173,2
294,10.392178,18.206041,-2.4757156,2
295,-19.096415,-5.5678444,5.6428885,4
296,-17.755856,-12.906558,-9.90072,5
297,-0.022016954,-17.00033,5.479131,2
298,-11.648515,14.82334,-10.954647,5
299,2.3142095,-1.7260569,-2.6002526,4
300,-11.741967,-21.474669,-6.446484,6
301,6.942264,-2.4471853,-5.4142895,7
302,2.7749305,6.438109,2.6257052,1
303,-10.92799,-19.88147,-4.1978045,5
304,-5.2096634,-3.8322735,-17.400301,4
305,-7.554946,7.935587,-11.738719,5
306,-14.98425,8.662348,-13.609991,5
307,12.976605,-0.11518247,12.499772,7
308,5.862422,8.902221,-2.9007964,3
309,-19.468578,-12.521497,-4.945378,5
310,3.203562,-16.97425,12.740042,3
311,11.683407,-4.863326,14.895014,2
312,-0.32823154,-17.823608,4.4954324,3
313,-12.356554,6.8201866,-4.4113054,5
314,-4.2666,-5.9032245,16.708572,6
315,-14.598251,-15.445805,-5.3286734,6
316,18.734926,-3.1769197,-14.724558,5
317,18.51098,9.195347,-4.9008017,2
318,16.174257,4.628934,-12.637188,3
319,4.129746,-8.075035,0.47511348,7
320,6.1612206,-8.787749,2.8937616,1
321,-8.153799,-5.0986505,-11.852152,3
322,-0.4712994,13.337059,14.214534,1
323,-11.946687,7.322399,-18.364426,2
324,-14.664918,17.814125,-4.775999,4
325,-10.726414,11.880931,-1.0594313,2
326,-9.136344,-2.684479,-11.35995,3
327,22.357452,-4.198049,-14.426915,6
328,-0.60746354,-12.496363,-3.068577,7
329,0.7323741,-4.5595713,19.384148,6
330,3.252092,-19.69685,13.114984,5
331,-9.106731,-4.533075,-11.946347,4
332,1.5217146,-1.5061814,-12.043286,3
333,-3.7268636,3.3762321,-1.0946913,5
334,-6.7432055,-5.741964,-12.538135,4
335,10.872207,10.36498,-6.701258,5
336,-7.0496774,7.1049237,4.4479685,7
337,14.753087,10.16323,-8.086348,2
338,11.361593,15.971257,5.703849,1
339,-14.958498,11.662983,-15.172835,5
340,-1.0571532,-12.767855,-0.67794645,1
341,-10.711171,5.290876,3.2327929,2
342,24.355513,-7.2692566,0.34369606,1
343,14.509628,9.241083,4.192789,7
344,0.61766326,-8.609869,-5.2440248,2
345,5.8692303,-17.412157,14.109577,3
346,6.2941194,10.573903,7.095905,6
347,1.6700152,16.312534,13.814688,5
348,9.318386,9.526311,-8.958529,1
349,6.6901817,-9.365813,-7.3775935,7
350,5.874956,7.4483695,20.44948,5
351,5.8028193,-19.753754,7.685406,6
352,-2.199631,10.504448,5.243488,7
353,-3.532118,-13.084356,16.88196,1
354,4.178339,2.7445676,20.493927,5
355,-7.604656,-2.764361,2.8743858,7
356,-4.801797,-1.8407525,21.09382,3
357,-5.7131705,-15.114295,-0.66784406,7
358,-1.3554639,15.58157,14.313298,5
359,-5.7733545,7.5275674,20.675642,3
360,19.954395,5.522824,3.7696712,2
361,-6.1507673,-0.7306458,24.784185,6
362,2.559334,21.669584,-1.5788752,5
363,16.559734,5.66758,-14.189069,4
364,10.971995,14.399002,2.1033723,3
365,18.422333,0.06377592,11.075856,2
366,-17.599045,-8.583456,4.926675,4
367,-13.828153,1.8348906,1.0464514,4
368,-5.426988,-23.153702,-3.4406948,7
369,0.33632758,-5.4266047,17.8049,6
370,-1.7310919,19.09418,3.351017,1
371,14.772777,9.377497,2.8171678,7
372,-14.346081,17.02472,-4.7973824,4
373,-4.4810815,-1.4775388,20.119686,3
374,-13.355166,-17.760345,-11.681307,4
375,-17.60287,14.728279,-11.281254,5
376,-0.74228036,-22.090631,-6.803778,7
377,15.113794,13.300131,7.1383996,3
378,17.159056,12.341881,-1.3724245,6
379,13.502908,16.267698,5.275088,2
380,-9.269528,-1.8185583,1.9958302,7
381,-17.758945,-7.429254,-7.54465,4
382,0.013214496,-6.4041896,15.172259,3
383,16.486174,-6.564064,-13.0437155,6
384,6.449544,16.459026,-4.6656013,2
385,2.008884,-17.812473,14.623933,5
386,6.782207,-20.126373,16.245161,6
387,-15.2347,4.9752913,-9.353219,5
388,2.1501927,-8.234095,-19.337366,1
389,24.85801,-6.590953,-0.24050023,1
390,-17.785019,14.148537,1.203901,5
391,2.0577314,-25.174025,-1.1819803,2
392,-2.9281044,8.589973,11.496336,3
393,-17.901575,-17.911297,-7.087925,5
394,-18.267284,1.6395333,-13.28796,4
395,-6.245643,-27.599115,-1.8442564,7
396,-10.461621,-2.5042627,16.808477,6
397,-4.3490405,-4.164727,-19.394995,4
398,1.0140246,10.90166,-10.474696,2
399,10.951338,14.005416,4.7968516,7
400,-3.294696,5.4462614,21.584232,4
401,-16.464935,13.276044,-7.73054,5
402,16.2248,-4.684569,-2.0673707,1
403,14.436059,15.924292,6.175988,5
404,-13.783347,-22.72573,-11.203979,7
405,-3.6738863,-21.87755,-4.2676854,7
406,-16.42793,-7.923079,-7.185818,4
407,21.708015,-7.7075033,1.2768201,1
408,-3.990687,7.3036857,-4.8153353,3
409,-10.146887,-3.0865471,22.06626,5
410,-15.235192,4.9513044,-9.469066,5
411,1.3968388,0.4839998,-3.2734127,7
412,-8.7437105,-1.688531,4.026824,7
413,-3.353841,-25.310682,-3.6969573,6
414,-12.128946,-15.9715185,-15.878591,3
415,-4.1447926,15.323613,-17.964037,4
416,10.63914,11.139081,-5.5774965,2
417,-17.150005,-17.84772,-6.0250216,5
418,1.6683336,-24.009851,12.366945,2
419,-0.46558493,-26.641588,0.2687913,1
420,23.499687,-8.904147,-3.1097996,2
421,-2.2387505,-23.893877,-9.366043,5
422,11.712176,5.9708467,2.9048276,7
423,1.667842,-8.742807,-17.082455,2
424,-4.659743,-14.998897,-0.612646,1
425,-15.544607,12.521965,-14.269313,5
426,-9.105522,-3.0096114,-12.318679,3
427,-13.655403,-8.256489,-5.3796315,4
428,-18.020227,15.095377,-11.764843,5
429,-3.0047143,8.203038,16.009893,3
430,-13.476722,10.396505,-16.112701,5
431,-4.987849,7.6813784,11.111646,7
432,-5.5782447,-28.199564,-5.2182937,2
433,-4.5877,-27.474157,-2.933593,2
434,-17.626656,6.4339585,-4.123106,4
435,11.305062,0.90852046,0.6733954,1
436,17.969366,-8.323932,3.847507,1
437,-1.7768688,18.890678,-12.658975,4
438,23.222239,-5.854154,-0.33789566,1
439,-1.9546657,18.390087,-5.605314,2
440,-4.0664706,-5.5864058,21.978094,3
441,-2.8582175,-13.599915,-1.7932576,7
442,9.571272,-0.20627621,8.788803,7
443,-0.23910797,11.626768,12.514746,1
444,-9.688634,16.354147,-2.210795,6
445,-2.8380775,3.289853,-15.641274,2
446,16.928158,4.752579,-13.68989,4
447,20.361109,-2.2734237,-16.90601,6
448,-6.7805157,9.7537775,-9.5224695,5
449,-1.9446247,4.1178603,20.746803,4
450,-18.593252,-7.432213,-7.8728905,4
451,4.6490316,-1.5722218,9.6783,7
452,10.263265,18.254921,-2.408335,2
453,-6.322634,14.319347,10.047885,6
454,-7.822575,4.55403,21.334585,6
455,-4.045536,18.374735,-9.538687,4
456,-14.2531395,11.829194,-5.8199663,5
457,-17.567968,-7.372275,-8.228827,4
458,10.055222,-2.9586577,16.031094,7
459,4.403884,-17.535034,14.42587,3
460,0.4125184,1.9196259,7.188571,1
461,-7.3101516,-2.5457094,1.1557162,7
462,-17.452463,-16.846443,-8.243064,4
463,-6.789408,-20.286453,-8.802161,3
464,-9.660692,3.1700463,-12.470282,5
465,-2.1161375,-18.461311,-5.357568,6
466,11.67604,19.169006,-2.4522488,5
467,-5.1973047,-3.276766,21.708208,3
468,13.776659,-5.621914,10.809485,2
469,3.8023465,-5.2398043,-24.563772,4
470,0.16331784,-18.967165,10.829541,3
471,3.7803996,-5.183641,-0.507749,1
472,-20.92753,-8.164231,7.5541496,6
473,-15.936014,-16.05386,-7.8648915,4
474,24.304565,-4.1768017,5.3237605,2
475,8.5413475,0.40416667,-24.31534,5
476,17.133505,-3.4922414,-13.792358,6
477,-7.0072546,11.605097,-9.961657,6
478,-2.9798033,-4.9558506,23.54556,3
479,-0.82560176,14.531178,-17.961697,3
480,11.169775,-3.8017461,-18.554667,3
481,-6.7837334,-3.4454477,22.992498,5
482,-5.4805026,1.0755998,-19.941036,5
483,1.1207994,-6.5730634,18.71238,6
484,1.3172532,11.608315,-10.275495,3
